"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Percent"
"2019-23","Borough","1","1","1","Bronx","Bronx","Bronx","374,138","27.0"
"2019-23","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","494,754","18.9"
"2019-23","Borough","3","1","3","Manhattan","Manhattan","Manhattan","250,056","15.8"
"2019-23","Borough","4","1","4","Queens","Queens","Queens","282,195","12.2"
"2019-23","Borough","5","1","5","Staten Island","Staten Island","Staten Island","53,177","10.9"
"2018-22","Borough","1","1","1","Bronx","Bronx","Bronx","379,925","26.9"
"2018-22","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","503,524","19.0"
"2018-22","Borough","3","1","3","Manhattan","Manhattan","Manhattan","252,677","15.8"
"2018-22","Borough","4","1","4","Queens","Queens","Queens","272,926","11.7"
"2018-22","Borough","5","1","5","Staten Island","Staten Island","Staten Island","50,556","10.4"
"2017-21","Borough","1","1","1","Bronx","Bronx","Bronx","379,954","26.5"
"2017-21","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","504,813","18.8"
"2017-21","Borough","3","1","3","Manhattan","Manhattan","Manhattan","252,233","15.6"
"2017-21","Borough","4","1","4","Queens","Queens","Queens","270,107","11.4"
"2017-21","Borough","5","1","5","Staten Island","Staten Island","Staten Island","50,282","10.3"
"2016-20","Borough","1","1","1","Bronx","Bronx","Bronx","375,410","27.0"
"2016-20","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","490,525","19.2"
"2016-20","Borough","3","1","3","Manhattan","Manhattan","Manhattan","246,300","15.6"
"2016-20","Borough","4","1","4","Queens","Queens","Queens","260,191","11.6"
"2016-20","Borough","5","1","5","Staten Island","Staten Island","Staten Island","50,804","10.8"
"2015-19","Borough","1","1","1","Bronx","Bronx","Bronx","392,172","28.0"
"2015-19","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","511,631","20.0"
"2015-19","Borough","3","1","3","Manhattan","Manhattan","Manhattan","250,913","15.8"
"2015-19","Borough","4","1","4","Queens","Queens","Queens","276,447","12.2"
"2015-19","Borough","5","1","5","Staten Island","Staten Island","Staten Island","54,621","11.7"
"2014-18","Borough","1","1","1","Bronx","Bronx","Bronx","407,528","29.1"
"2014-18","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","544,622","21.1"
"2014-18","Borough","3","1","3","Manhattan","Manhattan","Manhattan","263,413","16.6"
"2014-18","Borough","4","1","4","Queens","Queens","Queens","295,165","13.0"
"2014-18","Borough","5","1","5","Staten Island","Staten Island","Staten Island","60,026","12.8"
"2013-17","Borough","1","1","1","Bronx","Bronx","Bronx","422,197","29.7"
"2013-17","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","570,731","21.9"
"2013-17","Borough","3","1","3","Manhattan","Manhattan","Manhattan","277,483","17.3"
"2013-17","Borough","4","1","4","Queens","Queens","Queens","317,142","13.7"
"2013-17","Borough","5","1","5","Staten Island","Staten Island","Staten Island","60,735","12.9"
"2012-16","Borough","1","1","1","Bronx","Bronx","Bronx","427,715","30.5"
"2012-16","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","587,518","22.7"
"2012-16","Borough","3","1","3","Manhattan","Manhattan","Manhattan","279,847","17.6"
"2012-16","Borough","4","1","4","Queens","Queens","Queens","334,149","14.6"
"2012-16","Borough","5","1","5","Staten Island","Staten Island","Staten Island","60,530","12.9"
"2011-15","Borough","1","1","1","Bronx","Bronx","Bronx","427,574","30.7"
"2011-15","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","597,404","23.2"
"2011-15","Borough","3","1","3","Manhattan","Manhattan","Manhattan","283,590","17.9"
"2011-15","Borough","4","1","4","Queens","Queens","Queens","343,834","15.1"
"2011-15","Borough","5","1","5","Staten Island","Staten Island","Staten Island","58,470","12.5"
"2010-14","Borough","1","1","1","Bronx","Bronx","Bronx","419,580","30.5"
"2010-14","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","595,531","23.4"
"2010-14","Borough","3","1","3","Manhattan","Manhattan","Manhattan","278,958","17.7"
"2010-14","Borough","4","1","4","Queens","Queens","Queens","344,920","15.3"
"2010-14","Borough","5","1","5","Staten Island","Staten Island","Staten Island","57,405","12.3"
"2009-13","Borough","1","1","1","Bronx","Bronx","Bronx","405,465","29.8"
"2009-13","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","583,378","23.2"
"2009-13","Borough","3","1","3","Manhattan","Manhattan","Manhattan","276,148","17.7"
"2009-13","Borough","4","1","4","Queens","Queens","Queens","333,910","15.0"
"2009-13","Borough","5","1","5","Staten Island","Staten Island","Staten Island","54,956","11.9"
"2008-12","Borough","1","1","1","Bronx","Bronx","Bronx","395,832","29.3"
"2008-12","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","565,764","22.7"
"2008-12","Borough","3","1","3","Manhattan","Manhattan","Manhattan","271,996","17.5"
"2008-12","Borough","4","1","4","Queens","Queens","Queens","317,531","14.4"
"2008-12","Borough","5","1","5","Staten Island","Staten Island","Staten Island","52,237","11.3"
"2007-11","Borough","1","1","1","Bronx","Bronx","Bronx","381,179","28.5"
"2007-11","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","545,963","22.1"
"2007-11","Borough","3","1","3","Manhattan","Manhattan","Manhattan","272,041","17.6"
"2007-11","Borough","4","1","4","Queens","Queens","Queens","299,650","13.7"
"2007-11","Borough","5","1","5","Staten Island","Staten Island","Staten Island","50,626","11.0"
